#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	Unknown_BM251-ZX01-010001_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010002_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010003_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010004_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010005_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010006_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010007_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010008_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010009_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010010_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010011_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010012_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010013_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010014_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010015_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010016_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010017_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010018_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010019_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010020_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010021_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010022_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010023_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010024_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010025_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010026_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010027_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010028_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010029_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010030_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010031_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010032_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010033_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010034_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010035_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010036_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010037_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010038_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010039_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010040_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010041_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010042_good_metaphlan_bugs_list
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_borealis	0.04475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_crispatus|t__SGB7045	99.95525	0.0	0.03694	0.0	0.0	0.0	0.0	3.39692	0.0	0.0	1.8296	0.0	76.33692	0.0	45.92411	0.18872	0.0	0.0	6.62049	97.66	0.0	98.89492	0.00913	0.0	6.98184	99.34209	0.0	99.984	0.0	97.39493	99.95608	99.08929	9.62948	79.40864	34.42121	0.0	1.3483	100.0	100.0	96.08242	3.77011	31.61794
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_borealis|t__SGB7860	0.04475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota	0.0	46.78101	2.66406	5.65982	0.0	27.65512	1.50769	74.48882	6.76578	0.0	0.0	1.97025	0.0	1.97972	0.52361	4.06714	28.83534	2.65389	0.0	0.0	9.08547	0.00155	3.05502	5.04259	0.22103	0.02675	4.81146	0.0	0.26454	1.2517	0.03437	0.91071	25.37188	1.50054	0.31223	0.72933	0.0	0.0	0.0	0.54432	93.06384	67.72944
k__Bacteria|p__Bacteroidota	0.0	9.91883	33.88807	26.05287	0.0	31.66736	46.83065	0.02659	26.026	0.0	0.0	50.9628	0.0	43.46331	0.02937	26.71417	29.05246	13.98438	0.0	0.0	26.91716	0.0	42.85225	46.94252	0.02206	0.00145	27.11648	0.0	44.89756	1.25598	0.0	0.0	4.19686	7.41523	0.0	39.51917	0.0	0.0	0.0	1.44981	0.0	0.0
k__Bacteria|p__Thermodesulfobacteriota	0.0	0.03466	0.34004	0.18151	0.0	0.0	0.12766	0.0	0.13831	0.0	0.0	0.0	0.0	0.25683	0.0	0.35596	0.0	0.12743	0.0	0.0	0.15618	0.0	0.15836	0.28659	0.0	0.0	0.22714	0.0	0.84527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteria_unclassified	0.0	0.00987	0.00991	0.00294	0.0	0.0	0.00344	0.0	0.01277	0.0	0.0	0.00937	0.0	0.03878	0.0	0.0	0.0	0.0239	0.0	0.0	0.0615	0.0	0.00698	0.04121	0.0	0.0	0.0	0.0	0.00194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota	0.0	0.00021	2.32556	1.29505	100.0	0.0	2.41612	0.0	1.20206	0.0	0.0	0.45149	0.0	2.68354	0.0	1.59286	0.40626	10.52212	93.22526	0.0	0.74571	0.00627	2.11342	4.64179	90.82028	0.00051	0.99437	0.0	14.35196	0.03471	0.0	0.0	0.03246	0.1818	0.0	0.0	98.64444	0.0	0.0	0.0	3.16605	0.65262
k__Bacteria|p__Firmicutes|c__Clostridia	0.0	39.82498	56.51844	47.95629	0.0	4.71639	30.48599	0.0	58.58972	0.0	0.0	43.72642	0.05918	45.7527	0.04771	48.15824	41.40455	64.14349	0.0	0.0	59.25084	0.0	41.05006	32.33015	0.0	0.0	55.4036	0.0	33.1584	0.06268	0.0	0.0	4.53936	2.01947	0.0	0.0	0.0	0.0	0.0	0.02901	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes	0.0	39.41074	0.95185	4.76524	0.0	27.18807	0.57014	74.48882	5.53548	0.0	0.0	0.69635	0.0	1.24651	0.52361	2.61112	28.83534	0.63402	0.0	0.0	7.73466	0.00155	1.71489	4.61484	0.22103	0.02675	3.23237	0.0	0.00642	1.2517	0.03437	0.91071	25.24325	1.41847	0.31223	0.72933	0.0	0.0	0.0	0.54075	93.06384	67.72944
